Genere Anni Matematica Italiano Logica Test Totale CDL 
F 19 30.67 29.79 27.12 87.57 84.828 "ECONOMIA GEST. SERV. TURISTICI"
F 19 22.24 19.15 20.92 62.31 84.924 "ECONOMIA E FINANZA"
M 19 28.01 23.13 23.57 74.72 85.088 ECONOMIA
M 19 24 17.79 21.35 63.13 85.252 "MARKETING E GEST. IMPRESE"
F 19 27.56 19.57 23.57 70.71 85.284 "AMMINISTRAZIONE E CONTROLLO"
F 19 24.91 17.36 21.36 63.63 85.452 "ECONOMIA AZIENDALE"
F 19 27.12 14.69 24.91 66.72 85.488 "MARKETING E GEST. IMPRESE"
M 19 26.68 17.81 29.79 74.28 85.512 "ECONOMIA E FINANZA"
M 19 18.69 26.24 26.68 71.61 85.644 ECONOMIA
M 19 27.12 20.91 26.68 74.71 85.684 "ECONOMIA AZIENDALE"
F 19 19.57 23.12 21.79 64.48 85.792 "ECONOMIA GEST. SERV. TURISTICI"
M 19 28.45 28.89 22.24 79.59 85.836 "ECONOMIA AZIENDALE"
M 19 23.57 24.45 22.69 70.72 85.888 "MARKETING E GEST. IMPRESE"
F 19 15.13 26.68 24.01 65.83 86.332 ECONOMIA
M 19 20.91 20.03 24.91 65.84 86.336 "MARKETING E GEST. IMPRESE"
M 19 32 13.35 21.33 66.68 86.672 "MARKETING E GEST. IMPRESE"
F 19 23.12 21.79 21.79 66.69 86.676 "ECONOMIA E FINANZA"
F 19 24.01 12.91 29.79 66.71 86.684 "MARKETING E GEST. IMPRESE"
F 19 25.35 14.25 27.12 66.72 86.688 "ECONOMIA E FINANZA"
M 19 28.45 22.69 26.24 77.39 86.756 "ECONOMIA AZIENDALE"
F 19 27.12 16.91 27.56 71.59 86.836 "ECONOMIA E FINANZA"
M 19 24.47 28.01 31.56 84.04 87.016 ECONOMIA
F 19 21.79 23.57 25.35 70.71 87.084 "ECONOMIA AZIENDALE"
F 19 23.57 16.48 28.01 68.07 87.228 "AMMINISTRAZIONE E CONTROLLO"
F 19 23.57 20.45 24.45 68.48 87.392 "MARKETING E GEST. IMPRESE"
F 23 27.56 15.59 25.35 68.49 87.396 "MARKETING E GEST. IMPRESE"
F 19 27.12 28.89 27.56 83.57 87.428 "AMMINISTRAZIONE E CONTROLLO"
M 19 25.35 20.01 23.57 68.93 87.572 "AMMINISTRAZIONE E CONTROLLO"
M 20 21.8 22.69 24.47 68.96 87.584 "ECONOMIA AZIENDALE"
F 19 18.68 24.47 26.24 69.39 87.756 "MARKETING E GEST. IMPRESE"
F 19 27.56 28.45 20.91 76.92 87.768 "ECONOMIA E FINANZA"
M 19 23.57 28.01 25.35 76.93 87.772 "ECONOMIA AZIENDALE"
F 19 28.01 17.81 26.68 72.51 87.804 "MARKETING E GEST. IMPRESE"
M 21 24.01 26.68 26.68 77.37 87.948 ECONOMIA
F 19 25.79 20.47 24.01 70.27 88.108 "ECONOMIA E FINANZA"
M 19 28.01 22.23 30.67 80.91 88.164 "MARKETING E GEST. IMPRESE"
F 19 23.12 22.24 25.35 70.71 88.284 "MARKETING E GEST. IMPRESE"
F 19 21.8 22.69 26.23 70.72 88.288 "ECONOMIA GEST. SERV. TURISTICI"
M 23 24.91 28.01 27.12 80.04 88.416 "ECONOMIA AZIENDALE"
F 19 24.91 19.59 26.68 71.17 88.468 "ECONOMIA E FINANZA"
M 19 29.79 16.48 28.01 74.28 88.512 "ECONOMIA E FINANZA"
F 20 24.47 19.15 28.01 71.63 88.652 "ECONOMIA GEST. SERV. TURISTICI"
F 19 30.23 17.81 27.12 75.16 88.864 "AMMINISTRAZIONE E CONTROLLO"
M 19 21.36 30.67 26.24 78.27 88.908 ECONOMIA
F 20 26.68 23.57 22.68 72.93 89.172 "MARKETING E GEST. IMPRESE"
M 19 30.23 28.01 19.59 77.83 89.332 "MARKETING E GEST. IMPRESE"
F 19 27.12 20.91 25.35 73.37 89.348 "ECONOMIA GEST. SERV. TURISTICI"
F 19 29.79 21.8 26.68 78.27 89.508 "ECONOMIA AZIENDALE"
F 19 24.47 24.91 24.47 73.84 89.536 ECONOMIA
F 19 23.57 28.01 22.69 74.28 89.712 "ECONOMIA GEST. SERV. TURISTICI"
M 19 31.56 22.23 26.68 80.47 89.788 "ECONOMIA E FINANZA"
M 19 26.24 28.01 26.24 80.49 89.796 "ECONOMIA AZIENDALE"
M 20 29.79 27.56 19.13 76.48 90.592 "ECONOMIA E FINANZA"
F 19 31.56 29.79 22.69 84.04 90.616 "ECONOMIA AZIENDALE"
M 19 28.01 28.01 25.35 81.37 90.748 "ECONOMIA E FINANZA"
F 19 26.68 28.45 21.8 76.93 90.772 "ECONOMIA E FINANZA"
F 19 29.79 22.69 26.24 78.72 91.488 "ECONOMIA E FINANZA"
F 19 24.89 26.68 27.56 79.13 91.652 "ECONOMIA AZIENDALE"
F 19 31.56 26.68 20.92 79.16 91.664 "AMMINISTRAZIONE E CONTROLLO"
F 19 28.45 26.23 25.35 80.03 92.012 "ECONOMIA E FINANZA"
F 19 28 22.68 30.23 80.91 92.364 ECONOMIA
M 19 28.45 25.79 26.68 80.92 92.368 ECONOMIA
F 19 33.33 28.01 27.12 88.47 92.988 "ECONOMIA E FINANZA"
F 19 24.47 26.68 31.56 82.71 93.084 "AMMINISTRAZIONE E CONTROLLO"
F 19 28.89 23.57 30.67 83.13 93.252 "ECONOMIA E FINANZA"
F 19 32 27.12 24.89 84.01 93.604 "ECONOMIA AZIENDALE"
M 18 28.01 29.79 26.68 84.48 93.792 "MARKETING E GEST. IMPRESE"
F 19 29.79 28.01 27.12 84.92 93.968 ECONOMIA
M 19 31.56 28.01 28.01 87.59 95.036 "ECONOMIA E FINANZA"
F 31 8.03 0.91 3.12 12.05 40.82 "ECONOMIA E FINANZA"
F 20 10.72 -2.13 4.96 13.55 41.42 "MARKETING E GEST. IMPRESE"
M 20 5.81 6.24 3.15 15.2 43.28 "MARKETING E GEST. IMPRESE"
M 20 3.63 10.71 4.07 18.4 43.36 "MARKETING E GEST. IMPRESE"
M 21 0.48 3.6 9.39 13.47 43.79 "COMMERCIO ESTERO"
M 23 15.13 1.85 3.61 20.6 44.24 "ECONOMIA AZIENDALE"
M 20 4.92 2.69 4.51 12.12 44.45 "COMMERCIO ESTERO"
M 19 9.81 3.59 8.05 21.45 44.58 "MARKETING E GEST. IMPRESE"
M 20 9.39 1.85 8.51 19.75 45.1 "ECONOMIA E FINANZA"
M 20 10.67 13.36 0 24.03 45.61 "COMMERCIO ESTERO"
M 20 20.91 1.36 2.28 24.55 45.82 ECONOMIA
M 19 12.49 1.41 12.05 25.96 46.38 "STAT. E INFORMATICA GEST. IMPRESE"
F 20 8.05 10.28 4.07 22.4 46.76 "MARKETING E GEST. IMPRESE"
F 19 10.71 2.29 0.95 13.95 46.98 "AMMINISTRAZIONE E CONTROLLO"
F 19 14.24 8.01 5.35 27.6 47.04 "MARKETING E GEST. IMPRESE"
M 21 4.91 12.92 2.72 20.55 47.22 "MARKETING E GEST. IMPRESE"
F 21 14.69 7.59 4.47 26.75 47.9 "ECONOMIA AZIENDALE"
F 22 14.69 7.59 4.47 26.75 47.9 "ECONOMIA GEST. SERV. TURISTICI"
F 19 5.8 3.15 14.71 23.65 48.46 "COMMERCIO ESTERO"
M 19 20 4.92 7.13 32.05 48.82 "ECONOMIA E FINANZA"
M 19 15.59 -1.31 13.37 27.65 48.86 "MARKETING E GEST. IMPRESE"
M 19 12.92 6.27 11.59 30.77 48.91 "STAT. E INFORMATICA GEST. IMPRESE"
F 19 7.57 14.24 11.13 32.95 49.18 "MARKETING E GEST. IMPRESE"
M 24 5.79 6.67 4.45 16.91 49.36 "STAT. E INFORMATICA GEST. IMPRESE"
M 20 16.04 6.73 8.48 31.25 49.7 "COMMERCIO ESTERO"
M 20 11.12 9.79 13.35 34.25 49.7 "ECONOMIA AZIENDALE"
M 19 10.27 10.28 14.25 34.8 49.92 ECONOMIA
M 20 19.13 4.91 6.69 30.73 50.09 "STAT. E INFORMATICA GEST. IMPRESE"
M 23 12.01 8.91 15.13 36.05 50.42 "COMMERCIO ESTERO"
F 21 16.92 6.69 6.72 30.33 50.53 "COMMERCIO ESTERO"
M 20 0.01 8.48 16.45 24.95 50.78 "MARKETING E GEST. IMPRESE"
F 19 5.36 13.36 11.16 29.88 50.95 "COMMERCIO ESTERO"
F 21 13.36 -2.2 5.36 16.52 51.01 "COMMERCIO ESTERO"
M 23 4.95 7.61 16.04 28.6 51.04 "MARKETING E GEST. IMPRESE"
M 20 12.03 17.8 5.83 35.65 51.46 "ECONOMIA AZIENDALE"
M 20 15.57 11.16 12.04 38.77 51.51 "COMMERCIO ESTERO"
M 21 9.35 7.6 12.91 29.85 51.54 "MARKETING E GEST. IMPRESE"
M 20 14.69 3.6 20.91 39.2 51.68 "COMMERCIO ESTERO"
M 20 17.81 14.27 7.17 39.25 51.7 "ECONOMIA AZIENDALE"
M 22 8.92 8.48 17.8 35.2 51.88 "ECONOMIA AZIENDALE"
M 19 5.83 5.83 13.8 25.45 52.18 "ECONOMIA AZIENDALE"
M 19 17.8 12.05 10.69 40.55 52.22 "ECONOMIA GEST. SERV. TURISTICI"
M 19 18.69 12.93 6.23 37.85 52.34 "ECONOMIA E FINANZA"
F 20 8.91 12.47 7.57 28.95 53.58 "ECONOMIA GEST. SERV. TURISTICI"
M 19 12.47 11.13 8.93 32.53 53.81 "COMMERCIO ESTERO"
F 19 20.91 7.57 13.37 41.85 53.94 "ECONOMIA AZIENDALE"
F 19 12.04 5.4 12.49 29.93 53.97 "STAT. E INFORMATICA GEST. IMPRESE"
M 21 15.6 -4.37 17.37 28.6 54.04 "COMMERCIO ESTERO"
M 19 12.48 12.49 11.16 36.13 54.05 "COMMERCIO ESTERO"
F 20 13.79 9.36 10.25 33.4 54.16 "MARKETING E GEST. IMPRESE"
M 19 20.47 13.35 7.15 40.96 54.18 "STAT. E INFORMATICA GEST. IMPRESE"
M 19 20.01 5.81 12.48 38.31 54.32 "COMMERCIO ESTERO"
F 19 6.73 8.93 6.73 22.4 54.56 "MARKETING E GEST. IMPRESE"
M 19 24.89 8.93 5.84 39.67 54.87 "STAT. E INFORMATICA GEST. IMPRESE"
M 19 24.89 8.93 5.84 39.67 54.87 "COMMERCIO ESTERO"
M 19 8.45 12.49 9.8 30.75 54.9 "COMMERCIO ESTERO"
M 19 11.15 6.27 15.13 32.55 55.02 "MARKETING E GEST. IMPRESE"
M 20 14.68 13.79 19.13 47.6 55.04 "MARKETING E GEST. IMPRESE"
F 19 11.59 16.04 20.03 47.65 55.06 "ECONOMIA AZIENDALE"
F 19 15.57 12.47 10.71 38.75 55.1 "MARKETING E GEST. IMPRESE"
M 19 8.49 16.04 14.27 38.8 55.12 "ECONOMIA E FINANZA"
M 22 3.57 11.57 17.8 32.95 55.18 "ECONOMIA E FINANZA"
F 20 8.47 8.48 17.8 34.75 55.3 "CONSULENZA AZ.LE E GIURIDICA"
M 20 25.79 8.45 14.24 48.48 55.39 "COMMERCIO ESTERO"
M 19 20.47 15.59 12.49 48.55 55.42 "COMMERCIO ESTERO"
M 20 20.91 6.71 21.36 48.97 55.59 "STAT. E INFORMATICA GEST. IMPRESE"
M 20 20.91 6.71 21.36 48.97 55.59 "COMMERCIO ESTERO"
F 20 12.04 10.25 12.01 34.31 55.72 "COMMERCIO ESTERO"
M 19 18.25 15.15 8.95 42.35 55.94 "CONSULENZA AZ.LE E GIURIDICA"
F 20 22.68 5.84 9.36 37.88 55.95 "STAT. E INFORMATICA GEST. IMPRESE"
M 19 18.67 8.03 17.36 44.05 56.02 "ECONOMIA AZIENDALE"
M 19 16.91 8.03 10.27 35.2 56.08 "COMMERCIO ESTERO"
M 19 16.91 8.03 10.27 35.2 56.08 "MARKETING E GEST. IMPRESE"
M 22 17.36 6.72 19.13 43.21 56.28 "COMMERCIO ESTERO"
M 20 18.68 15.13 17.37 51.19 56.48 "COMMERCIO ESTERO"
M 19 13.35 6.71 17.8 37.85 56.54 "MARKETING E GEST. IMPRESE"
M 19 18.24 10.25 12.47 40.96 56.58 "COMMERCIO ESTERO"
F 21 12.48 14.71 24.47 51.65 56.66 "ECONOMIA AZIENDALE"
F 19 11.13 6.28 1.37 18.79 56.72 "COMMERCIO ESTERO"
M 19 12.45 4.89 12.03 29.37 56.75 "COMMERCIO ESTERO"
M 19 20.91 7.6 14.71 43.21 56.88 "COMMERCIO ESTERO"
M 20 16.91 8.45 12.03 37.39 56.96 "STAT. E INFORMATICA GEST. IMPRESE"
F 19 10.71 3.19 8.51 22.4 56.96 "MARKETING E GEST. IMPRESE"
F 19 20.03 5.37 15.15 40.55 57.02 "MARKETING E GEST. IMPRESE"
M 19 14.71 9.79 13.35 37.84 57.14 "COMMERCIO ESTERO"
F 19 19.57 4.91 13.37 37.85 57.14 "ECONOMIA AZIENDALE"
F 19 13.81 13.37 21.36 48.55 57.22 "MARKETING E GEST. IMPRESE"
F 20 18.25 14.27 19.15 51.67 57.27 "COMMERCIO ESTERO"
F 20 17.79 9.83 13.8 41.41 57.36 "COMMERCIO ESTERO"
F 19 10.24 14.27 6.69 31.2 57.48 "MARKETING E GEST. IMPRESE"
M 19 10.27 17.8 22.68 50.75 57.5 "MARKETING E GEST. IMPRESE"
M 19 18.69 19.13 12.92 50.75 57.5 "MARKETING E GEST. IMPRESE"
F 19 8.05 12.49 10.71 31.25 57.5 "ECONOMIA AZIENDALE"
M 20 26.67 4.48 22.68 53.83 57.53 "COMMERCIO ESTERO"
F 45 7.12 8.91 15.57 31.6 57.64 "AMMINISTRAZIONE E CONTROLLO"
M 20 16.47 8.01 22.24 46.72 57.69 "STAT. E INFORMATICA GEST. IMPRESE"
F 20 20.47 10.25 16.03 46.75 57.7 "ECONOMIA AZIENDALE"
F 20 14.68 9.83 13.35 37.85 57.74 "COMMERCIO ESTERO"
F 20 14.68 9.83 13.35 37.85 57.74 "ECONOMIA GEST. SERV. TURISTICI"
M 20 12.91 5.36 15.13 33.4 57.76 "ECONOMIA AZIENDALE"
F 19 7.12 15.12 2.71 24.95 57.98 "MARKETING E GEST. IMPRESE"
M 19 21.35 0.45 18.25 40.05 58.02 "COMMERCIO ESTERO"
F 20 7.59 4.03 10.71 22.32 58.13 "COMMERCIO ESTERO"
F 19 12.49 8.92 11.59 33 58.2 "ECONOMIA AZIENDALE"
M 19 26.68 10.25 18.69 55.63 58.25 "STAT. E INFORMATICA GEST. IMPRESE"
M 19 26.68 10.25 18.69 55.63 58.25 "COMMERCIO ESTERO"
M 19 26.23 7.13 16.45 49.81 58.32 "COMMERCIO ESTERO"
F 19 10.68 15.59 18.24 44.51 58.6 "COMMERCIO ESTERO"
F 19 12.91 12.48 16.47 41.85 58.74 "MARKETING E GEST. IMPRESE"
F 20 19.13 19.13 4 42.27 58.91 "COMMERCIO ESTERO"
M 19 15.15 12.49 7.16 34.8 58.92 "STAT. E INFORMATICA GEST. IMPRESE"
F 19 19.13 5.36 16.48 40.97 58.99 "STAT. E INFORMATICA GEST. IMPRESE"
M 19 10.24 16.48 7.13 33.85 59.14 "MARKETING E GEST. IMPRESE"
F 19 16.03 24.47 10.25 50.75 59.3 "COMMERCIO ESTERO"
F 19 17.81 15.6 16.04 49.45 59.38 "ECONOMIA AZIENDALE"
F 19 17.79 5.35 9.81 32.95 59.38 "MARKETING E GEST. IMPRESE"
M 21 17.35 1.35 12.91 31.6 59.44 ECONOMIA
M 20 4.93 12.45 9.81 27.2 59.48 "ECONOMIA AZIENDALE"
F 19 8.01 9.8 8.03 25.84 59.54 "COMMERCIO ESTERO"
F 19 12.03 8.92 14.25 35.2 59.68 "ECONOMIA E FINANZA"
F 19 22.67 8.91 18.68 50.25 59.7 "ECONOMIA AZIENDALE"
M 19 4.07 17.37 21.36 42.8 59.72 "CONSULENZA AZ.LE E GIURIDICA"
F 19 18.24 3.15 20.47 41.85 59.94 "COMMERCIO ESTERO"
F 19 18.24 3.15 20.47 41.85 59.94 "MARKETING E GEST. IMPRESE"
M 20 20.01 12.01 11.57 43.6 60.04 "MARKETING E GEST. IMPRESE"
M 20 26.68 14.27 15.15 56.09 60.24 "COMMERCIO ESTERO"
M 19 24.91 5.84 15.15 45.89 60.36 "COMMERCIO ESTERO"
M 21 4.89 8.04 0 12.93 60.37 "COMMERCIO ESTERO"
M 19 28.01 15.59 18.25 61.85 60.74 "ECONOMIA E FINANZA"
F 19 14.69 18.69 16.47 49.85 60.74 "ECONOMIA E FINANZA"
F 19 15.6 19.15 6.25 41 60.8 "COMMERCIO ESTERO"
M 19 19.57 15.13 9.35 44.05 60.82 "MARKETING E GEST. IMPRESE"
M 19 16.47 19.59 15.6 51.65 60.86 "MARKETING E GEST. IMPRESE"
M 19 17.36 17.36 12.48 47.2 60.88 "MARKETING E GEST. IMPRESE"
M 19 10.25 14.71 5.84 30.8 60.92 "MARKETING E GEST. IMPRESE"
F 19 12.01 4.03 13.37 29.41 60.96 "COMMERCIO ESTERO"
M 19 11.15 6.69 14.71 32.55 61.02 "ECONOMIA AZIENDALE"
M 19 11.15 6.69 14.71 32.55 61.02 "ECONOMIA GEST. SERV. TURISTICI"
M 20 24.47 14.27 16.48 55.21 61.08 "COMMERCIO ESTERO"
M 19 13.8 18.25 18.69 50.75 61.1 "ECONOMIA AZIENDALE"
M 19 12.47 12.04 14.69 39.2 61.28 "ECONOMIA AZIENDALE"
M 21 14.23 -0.84 16.91 30.29 61.32 "COMMERCIO ESTERO"
M 21 12.91 7.13 13.36 33.4 61.36 "MARKETING E GEST. IMPRESE"
F 22 19.13 12.47 16.92 48.52 61.41 "COMMERCIO ESTERO"
F 19 9.36 7.59 7.59 24.53 61.41 "COMMERCIO ESTERO"
M 19 10.68 6.27 22.68 39.63 61.45 "COMMERCIO ESTERO"
F 19 7.59 19.13 0.93 27.65 61.46 ECONOMIA
M 30 27.56 6.67 12.01 46.24 61.5 "COMMERCIO ESTERO"
M 21 26.68 7.13 18.24 52.05 61.62 "STAT. E INFORMATICA GEST. IMPRESE"
F 19 10.72 10.28 19.15 40.15 61.66 "ECONOMIA E FINANZA"
M 19 17.35 15.12 25.79 58.25 61.7 "MARKETING E GEST. IMPRESE"
F 41 10.24 4.47 14.71 29.41 61.76 "COMMERCIO ESTERO"
M 19 15.59 6.28 8.05 29.92 61.77 "STAT. E INFORMATICA GEST. IMPRESE"
M 20 23.56 9.79 19.12 52.47 61.79 "COMMERCIO ESTERO"
F 19 10.27 19.59 22.69 52.55 61.82 "MARKETING E GEST. IMPRESE"
F 19 19.12 6.23 13.8 39.15 61.86 "COMMERCIO ESTERO"
F 19 19.12 6.23 13.8 39.15 61.86 "MARKETING E GEST. IMPRESE"
F 18 17.8 18.24 22.68 58.72 61.89 "COMMERCIO ESTERO"
F 19 20.01 10.68 19.59 50.28 62.11 "COMMERCIO ESTERO"
M 21 13.36 15.59 16.92 45.87 62.15 "COMMERCIO ESTERO"
M 19 23.12 13.8 16.48 53.4 62.16 "ECONOMIA E FINANZA"
M 19 13.36 13.83 12.89 40.08 62.23 "COMMERCIO ESTERO"
F 19 14.71 13.83 20.92 49.45 62.38 "COMMERCIO ESTERO"
F 19 14.71 13.83 20.92 49.45 62.38 "MARKETING E GEST. IMPRESE"
M 19 10.23 1.35 5.35 16.92 62.57 "COMMERCIO ESTERO"
M 20 15.6 7.16 22.69 45.45 62.58 "ECONOMIA AZIENDALE"
F 19 14.24 18.24 19.13 51.61 62.64 "COMMERCIO ESTERO"
F 19 13.8 18.25 18.24 50.29 62.72 "COMMERCIO ESTERO"
F 19 20.01 19.12 6.72 45.85 62.74 "MARKETING E GEST. IMPRESE"
F 19 13.8 4.03 16.48 34.31 62.92 "COMMERCIO ESTERO"
F 19 16.03 2.25 16.04 34.32 62.93 "COMMERCIO ESTERO"
F 20 14.68 15.13 18.24 48.05 63.02 "COMMERCIO ESTERO"
M 19 18.24 13.8 23.56 55.6 63.04 "ECONOMIA AZIENDALE"
M 20 30.23 11.59 20.03 61.84 63.14 "STAT. E INFORMATICA GEST. IMPRESE"
F 19 20.45 4.01 16.48 40.95 63.18 "MARKETING E GEST. IMPRESE"
F 19 20.45 4.01 16.48 40.95 63.18 "ECONOMIA GEST. SERV. TURISTICI"
F 19 12.01 18.69 15.15 45.85 63.34 "COMMERCIO ESTERO"
F 19 12.01 18.69 15.15 45.85 63.34 "CONSULENZA AZ.LE E GIURIDICA"
F 20 13.83 20.92 15.6 50.35 63.34 "CONSULENZA AZ.LE E GIURIDICA"
F 36 13.79 7.57 19.59 40.95 63.38 "COMMERCIO ESTERO"
F 19 13.35 12.91 10.69 36.95 63.38 "MARKETING E GEST. IMPRESE"
M 20 16.03 15.59 2.73 34.35 63.54 "ECONOMIA AZIENDALE"
F 19 13.83 22.69 17.37 53.89 63.56 "COMMERCIO ESTERO"
F 19 10.68 12.48 14.24 37.4 63.56 "MARKETING E GEST. IMPRESE"
F 19 11.6 12.04 3.63 27.27 63.71 "STAT. E INFORMATICA GEST. IMPRESE"
M 19 23.12 13.81 20.47 57.4 63.76 "MARKETING E GEST. IMPRESE"
M 21 15.59 8.92 15.15 39.65 63.86 "AMMINISTRAZIONE E CONTROLLO"
F 19 24.89 10.68 17.8 53.37 63.95 "COMMERCIO ESTERO"
F 20 16.47 17.81 17.8 52.08 64.03 "COMMERCIO ESTERO"
F 19 13.35 15.13 19.15 47.63 64.05 "COMMERCIO ESTERO"
M 19 13.83 10.28 10.28 34.39 64.16 "STAT. E INFORMATICA GEST. IMPRESE"
F 19 13.36 18.25 8.91 40.52 64.21 "COMMERCIO ESTERO"
F 19 17.35 18.24 20.01 55.6 64.24 "MARKETING E GEST. IMPRESE"
F 19 22.24 11.13 19.57 52.95 64.38 "MARKETING E GEST. IMPRESE"
M 20 12.89 5.33 18.68 36.91 64.56 "COMMERCIO ESTERO"
M 19 33.33 14.25 20.92 68.51 64.6 "STAT. E INFORMATICA GEST. IMPRESE"
F 19 25.79 18.69 19.57 64.05 64.62 "MARKETING E GEST. IMPRESE"
M 19 26.24 12.05 18.25 56.55 64.62 "MARKETING E GEST. IMPRESE"
F 19 12.47 9.37 14.24 36.08 64.83 "COMMERCIO ESTERO"
M 19 25.35 15.59 25.35 66.28 64.91 "STAT. E INFORMATICA GEST. IMPRESE"
M 19 10.28 19.15 17.37 46.8 64.92 "ECONOMIA AZIENDALE"
F 19 25.79 10.68 13.36 49.83 64.93 "STAT. E INFORMATICA GEST. IMPRESE"
F 19 23.13 1.8 20.47 45.4 64.96 "ECONOMIA E FINANZA"
M 21 30.23 6.68 14.69 51.6 65.04 "MARKETING E GEST. IMPRESE"
M 19 26.68 7.16 13.37 47.21 65.08 "STAT. E INFORMATICA GEST. IMPRESE"
M 20 20.92 22.69 11.13 54.75 65.1 "ECONOMIA GEST. SERV. TURISTICI"
M 19 28.45 13.37 16.03 57.85 65.14 ECONOMIA
F 19 24.01 24.47 16.92 65.4 65.16 "MARKETING E GEST. IMPRESE"
M 22 13.79 20.01 15.15 48.95 65.18 "ECONOMIA E FINANZA"
F 19 19.13 18.69 17.37 55.2 65.28 "MARKETING E GEST. IMPRESE"
M 19 23.13 15.15 24.47 62.75 65.3 "COMMERCIO ESTERO"
M 19 23.13 15.15 24.47 62.75 65.3 "MARKETING E GEST. IMPRESE"
M 20 23.13 17.36 28.45 68.95 65.38 "ECONOMIA E FINANZA"
F 19 24.45 6.25 17.35 48.05 65.42 "MARKETING E GEST. IMPRESE"
F 23 10.23 7.57 18.25 36.05 65.42 ECONOMIA
F 19 24.45 6.25 17.35 48.05 65.42 "ECONOMIA GEST. SERV. TURISTICI"
F 19 24.45 1.36 18.24 44.05 65.62 ECONOMIA
M 21 20.92 24.47 24.47 69.85 65.74 ECONOMIA
F 19 12.92 22.69 12.01 47.63 65.85 "COMMERCIO ESTERO"
F 19 29.79 17.35 21.8 68.93 65.97 "COMMERCIO ESTERO"
M 19 23.13 19.15 26.68 68.96 65.98 "COMMERCIO ESTERO"
F 19 14.24 8.91 20.45 43.6 66.04 "CONSULENZA AZ.LE E GIURIDICA"
M 20 6.23 7.57 13.35 27.15 66.06 "COMMERCIO ESTERO"
M 19 24.01 16.04 26.24 66.29 66.12 "COMMERCIO ESTERO"
F 19 22.23 9.81 17.81 49.85 66.14 "ECONOMIA AZIENDALE"
F 19 9.39 20.92 22.69 53 66.2 "ECONOMIA AZIENDALE"
F 19 12.47 14.27 13.37 40.11 66.44 "STAT. E INFORMATICA GEST. IMPRESE"
F 20 17.37 12.05 13.83 43.25 66.5 "COMMERCIO ESTERO"
F 20 17.37 12.05 13.83 43.25 66.5 "ECONOMIA GEST. SERV. TURISTICI"
F 19 19.13 20.47 18.69 58.29 66.52 "COMMERCIO ESTERO"
F 19 19.57 15.13 19.13 53.84 66.54 "COMMERCIO ESTERO"
F 19 28 16.48 16.92 61.4 66.56 "MARKETING E GEST. IMPRESE"
M 19 14.69 21.36 20.89 56.95 66.58 "ECONOMIA E FINANZA"
F 19 25.35 8.49 23.13 56.97 66.59 "COMMERCIO ESTERO"
F 19 26.23 17.8 20.47 64.49 66.6 "COMMERCIO ESTERO"
F 19 29.33 8.89 17.35 55.57 66.63 "STAT. E INFORMATICA GEST. IMPRESE"
F 19 29.33 8.89 17.35 55.57 66.63 "COMMERCIO ESTERO"
F 19 9.36 6.73 15.6 31.69 66.68 "COMMERCIO ESTERO"
F 19 17.33 4.45 18.25 40.04 67.02 "COMMERCIO ESTERO"
M 19 20.91 14.71 8.93 44.55 67.02 "ECONOMIA AZIENDALE"
F 20 10.23 20.91 4.47 35.6 67.04 "MARKETING E GEST. IMPRESE"
M 20 22.23 15.57 17.35 55.15 67.06 "ECONOMIA AZIENDALE"
F 19 12.45 14.69 16.04 43.19 67.08 "COMMERCIO ESTERO"
F 19 21.79 13.83 19.59 55.2 67.08 "COMMERCIO ESTERO"
M 19 10.71 20.03 14.27 45 67.2 "ECONOMIA E FINANZA"
M 19 13.8 12.03 20.91 46.73 67.29 "COMMERCIO ESTERO"
F 19 17.36 9.36 20.03 46.75 67.3 "COMMERCIO ESTERO"
F 19 15.13 20.92 22.69 58.75 67.3 "MARKETING E GEST. IMPRESE"
F 19 27.56 16.47 22.24 66.27 67.31 "STAT. E INFORMATICA GEST. IMPRESE"
F 19 27.56 16.47 22.24 66.27 67.31 "COMMERCIO ESTERO"
M 19 28.89 22.24 10.72 61.85 67.34 "ECONOMIA AZIENDALE"
F 19 19.13 17.79 14.71 51.63 67.45 "COMMERCIO ESTERO"
M 19 24.91 13.83 28.01 66.75 67.5 "MARKETING E GEST. IMPRESE"
F 19 19.13 15.59 23.13 57.85 67.54 "MARKETING E GEST. IMPRESE"
M 19 23.13 13.35 24.45 60.93 67.57 "COMMERCIO ESTERO"
F 19 14.71 18.25 16.04 49 67.6 "MARKETING E GEST. IMPRESE"
F 23 17.81 12.92 24.47 55.2 67.68 "STAT. E INFORMATICA GEST. IMPRESE"
M 20 22.24 14.27 24.91 61.41 67.76 "COMMERCIO ESTERO"
M 19 21.8 15.59 19.59 56.97 67.79 "STAT. E INFORMATICA GEST. IMPRESE"
F 19 15.6 15.6 15.6 46.8 67.92 "COMMERCIO ESTERO"
F 26 17.8 12.49 19.59 49.88 67.95 "COMMERCIO ESTERO"
M 19 23.56 15.57 15.59 54.72 68.09 "COMMERCIO ESTERO"
M 19 16.91 20.92 23.13 60.96 68.18 "COMMERCIO ESTERO"
F 19 7.6 16.48 17.37 41.45 68.18 "ECONOMIA E FINANZA"
F 19 16.47 19.15 22.69 58.31 68.32 "COMMERCIO ESTERO"
F 20 20.47 13.83 19.59 53.88 68.35 "COMMERCIO ESTERO"
M 20 23.57 13.83 18.25 55.65 68.46 "STAT. E INFORMATICA GEST. IMPRESE"
